chemical_shift;intensity
86.100000;8.293081
86.200000;8.212128
86.300000;8.131175
86.400000;8.058415
86.500000;7.981559
86.600000;7.909503
86.700000;7.836039
86.800000;7.763279
86.900000;7.681981
87.000000;7.506409
87.100000;6.736552
87.200000;6.583314
87.300000;6.490072
87.400000;6.425505
87.500000;6.350299
87.600000;6.251310
87.700000;6.169943
87.800000;6.016270
87.900000;5.942908
88.000000;5.941252
88.100000;5.953501
88.200000;5.949365
88.300000;5.941133
88.400000;5.928804
88.500000;5.899606
88.600000;5.863714
88.700000;5.827822
88.800000;5.789366
88.900000;5.723266
89.000000;5.646409
89.100000;5.501427
89.200000;5.267393
89.300000;5.046610
89.400000;4.798255
89.500000;4.740402
89.600000;4.715783
89.700000;4.694675
89.800000;4.642397
89.900000;4.594216
90.000000;4.505895
90.100000;4.229855
90.200000;3.782349
90.300000;3.673736
90.400000;3.591373
90.500000;3.421775
90.600000;3.204164
90.700000;3.143693
90.800000;3.103705
90.900000;3.071909
91.000000;3.028150
91.100000;2.946871
91.200000;2.878208
91.300000;2.809544
91.400000;2.740589
91.500000;2.687295
91.600000;2.640421
91.700000;2.584805
91.800000;2.535866
91.900000;2.459009
92.000000;2.368056
92.100000;2.227464
92.200000;1.720483
92.300000;1.578084
92.400000;1.402913
92.500000;1.207260
92.600000;1.012173
92.700000;0.938847
92.800000;0.880253
92.900000;0.834291
93.000000;0.790207
93.100000;0.744952
93.200000;0.693844
93.300000;0.636574
93.400000;0.572902
93.500000;0.501278
93.600000;0.404955
93.700000;0.308632
93.800000;0.204201
93.900000;0.165936
94.000000;0.316449
94.100000;0.409612
94.200000;0.486389
94.300000;0.559069
94.400000;0.611267
94.500000;0.658370
94.600000;0.682893
94.700000;0.706416
94.800000;0.715601
94.900000;0.714528
95.000000;0.703232
95.100000;0.679612
95.200000;0.647816
95.300000;0.621184
95.400000;0.588321
95.500000;0.531947
95.600000;0.471476
95.700000;0.419198
95.800000;0.354631
95.900000;0.265486
96.000000;0.215360
96.100000;0.181412
96.200000;0.121062
96.300000;0.056374
96.400000;0.000000
96.500000;0.031193
96.600000;0.359273
96.700000;0.680915
96.800000;0.869595
96.900000;1.333597
97.000000;1.682139
97.100000;1.840493
97.200000;2.152515
97.300000;2.499408
97.400000;2.768551
97.500000;3.022928
97.600000;3.202435
97.700000;3.427793
97.800000;3.637800
97.900000;3.888529
98.000000;4.107296
98.100000;4.378214
98.200000;4.679237
98.300000;4.962117
98.400000;5.314895
98.500000;5.514659
98.600000;5.899090
98.700000;6.275362
98.800000;6.641378
98.900000;7.025119
99.000000;7.411324
99.100000;7.722449
99.200000;8.242528
99.300000;8.722091
99.400000;9.324283
99.500000;9.940249
99.600000;10.496025
99.700000;10.999338
99.800000;11.540296
99.900000;12.265589
100.000000;12.790296
100.100000;13.375935
100.200000;14.031659
100.300000;14.768867
100.400000;15.465916
100.500000;16.089093
100.600000;16.752976
100.700000;17.480647
100.800000;18.123927
100.900000;18.714092
101.000000;19.438080
101.100000;20.137797
101.200000;20.862937
101.300000;21.640642
101.400000;22.397435
101.500000;23.081422
101.600000;23.800899
101.700000;24.576212
101.800000;25.373057
101.900000;26.125117
102.000000;27.027315
102.100000;27.619701
102.200000;28.225046
102.300000;28.773420
102.400000;29.331932
102.500000;29.845177
102.600000;30.404068
102.700000;31.010773
102.800000;31.549904
102.900000;32.035782
103.000000;32.463518
103.100000;32.813525
