file,num_valid_nodes,max_intensity,mean_intensity,num_above_threshold
51910.pt,5,2.831256866455078,0.9999999284744263,1
9169.pt,12,2.8281874656677246,0.9999999602635702,1
16343.pt,16,2.8149189949035645,0.9999999701976776,2
11688.pt,17,2.8136379718780518,1.0000000210369335,1
11718.pt,6,2.8037383556365967,1.0000000447034836,1
51384.pt,13,2.8029325008392334,1.0000000458497267,1
7754.pt,28,2.799999952316284,0.9999999850988388,2
5804.pt,14,2.799999952316284,0.9999999872275761,2
12052.pt,14,2.7969844341278076,0.9999999957425254,1
3151.pt,20,2.792515993118286,0.9999999880790711,2
17103.pt,14,2.7916576862335205,0.9999999787126269,1
7958.pt,10,2.7886223793029785,0.9999999940395355,1
16130.pt,8,2.7835769653320312,1.0000000223517418,2
436.pt,18,2.782071113586426,0.9999999867545234,1
51651.pt,9,2.7812113761901855,1.0000000165568457,1
10462.pt,14,2.7810916900634766,1.0000000298023224,1
52600.pt,26,2.7807486057281494,0.9999999507115438,3
51939.pt,10,2.779977321624756,1.0000000149011612,1
2865.pt,7,2.7766759395599365,1.0000000042574746,1
9221.pt,12,2.764976978302002,1.0000000049670537,2
18798.pt,12,2.7586207389831543,1.0000000298023224,1
51781.pt,7,2.752654552459717,1.0000000510896956,1
7643.pt,22,2.747938871383667,0.9999999674883756,2
12331.pt,12,2.7472527027130127,1.0000000298023224,1
79.pt,22,2.7380213737487793,1.000000062313947,5
52702.pt,10,2.736726760864258,0.9999999538064003,2
15375.pt,10,2.736726760864258,0.9999999701976776,1
10676.pt,10,2.727024793624878,0.9999999791383744,1
7505.pt,19,2.72050404548645,1.0000000062741732,4
7860.pt,18,2.714113235473633,0.9999999735090468,2
15353.pt,24,2.7051398754119873,1.0000000248352687,2
13225.pt,24,2.7030069828033447,0.9999999950329462,1
39.pt,16,2.6999661922454834,1.0000000223517418,2
22300.pt,10,2.6852846145629883,1.000000011920929,2
16639.pt,12,2.685044765472412,1.0000000049670537,1
16432.pt,12,2.6848301887512207,0.9999999602635702,1
1349.pt,12,2.6845638751983643,1.0000000223517418,1
2369.pt,10,2.6831231117248535,0.9999999880790711,1
13029.pt,8,2.6782724857330322,1.0000000149011612,1
19135.pt,15,2.6778202056884766,1.0000000576178232,1
1743.pt,16,2.6755852699279785,0.9999999739229679,2
19075.pt,10,2.6716537475585938,0.9999999701976776,1
2859.pt,14,2.669717788696289,1.000000030866691,4
51909.pt,12,2.669485569000244,1.0000000496705372,1
13051.pt,8,2.6693360805511475,1.0000000223517418,1
12810.pt,10,2.6666667461395264,1.000000011920929,2
19699.pt,8,2.6640026569366455,0.9999999850988388,1
723.pt,12,2.663115978240967,1.00000003973643,2
51070.pt,19,2.662954092025757,0.9999999152986627,1
255.pt,12,2.6619343757629395,0.9999999975164732,2
12556.pt,13,2.659574508666992,1.0000000664821038,1
13698.pt,6,2.654867172241211,0.999999980131785,1
4452.pt,6,2.650176525115967,0.999999980131785,1
50192.pt,18,2.6470587253570557,1.0,2
5087.pt,7,2.641509532928467,1.0000000255448478,1
11778.pt,19,2.6364028453826904,1.0000001380318089,1
7720.pt,27,2.6331188678741455,0.9999999911696823,2
18828.pt,9,2.628504514694214,0.9999999470180936,1
17223.pt,10,2.6274304389953613,1.000000035762787,2
10409.pt,8,2.627257823944092,0.9999999981373549,1
16823.pt,10,2.622377634048462,1.2,2
16715.pt,10,2.6204898357391357,1.000000011920929,1
13425.pt,16,2.6123013496398926,1.0,1
6463.pt,13,2.6114907264709473,1.0000000573121584,1
18814.pt,7,2.6061058044433594,1.0000000298023224,2
11204.pt,11,2.603550434112549,1.0000000460581346,1
3207.pt,14,2.600297212600708,0.9999999829701015,1
7261.pt,13,2.5989603996276855,0.9999999954150274,2
41148.pt,7,2.5958003997802734,0.9999999829701015,1
